,img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,franchise
1059,/games/boxart/9492661ccc.jpg,.hack//Infection Part 1,PS2,Role-Playing,Bandai,CyberConnect2,7.7,1.27,0.49,0.26,0.38,0.13,02/11/2003,02/11/03,.hack
2378,/games/boxart/19085ccc.jpg,.hack//Mutation Part 2,PS2,Role-Playing,Bandai,CyberConnect2,7.5,0.68,0.23,0.2,0.18,0.06,05/07/2003,05/07/03,.hack
3674,/games/boxart/1711724ccc.jpg,.hack//Outbreak Part 3,PS2,Role-Playing,Bandai,CyberConnect2,7.1,0.46,0.14,0.17,0.11,0.04,09/09/2003,09/09/03,.hack
842,/games/boxart/1441101ccc.jpg,007: Quantum of Solace,X360,Shooter,Activision,Treyarch,6.6,1.48,0.82,0.01,0.51,0.14,11/04/2008,11/04/08,007
1252,/games/boxart/6998455ccc.jpg,007: Quantum of Solace,PS3,Shooter,Activision,Treyarch,6.6,1.14,0.43,0.02,0.51,0.19,11/04/2008,11/04/08,007
2501,/games/boxart/2828226ccc.jpg,007: Quantum of Solace,Wii,Shooter,Activision,Beenox,5.6,0.65,0.29,0.01,0.28,0.07,11/04/2008,11/04/08,007
3954,/games/boxart/5975038ccc.jpg,007: Quantum of Solace,PS2,Shooter,Activision,Treyarch,7.8,0.43,0.17,0,0,0.26,11/04/2008,11/04/08,007
772,/games/boxart/5735485ccc.jpg,007: The World is Not Enough,N64,Shooter,Electronic Arts,Eurocom Entertainment Software,7.4,1.55,1.13,0.02,0.38,0.03,10/17/2000,10/17/2000,007
2809,/games/boxart/9573183ccc.jpg,2002 FIFA World Cup,PS2,Sports,EA Sports,EA Canada,7.9,0.59,0.21,0.16,0.17,0.06,4/22/2002,4/22/2002,FIFA
1114,/games/boxart/full_3253995AmericaFrontccc.jpg,2010 FIFA World Cup South Africa,PS3,Sports,EA Sports,EA Canada,8.2,1.23,0.3,0.07,0.64,0.22,4/27/2010,4/27/2010,FIFA
